transaction_id,arrival_timestamp,order_type,service_duration_min
20251006-0000,2025-10-06T07:04:48,espresso,3.8598
20251006-0001,2025-10-06T07:09:28,blended,5.4722
20251006-0002,2025-10-06T07:14:15,blended,5.0026
20251006-0003,2025-10-06T07:14:48,drip,2.3076
20251006-0004,2025-10-06T07:14:58,drip,2.6662
20251006-0005,2025-10-06T07:17:53,espresso,2.9522
20251006-0006,2025-10-06T07:20:42,blended,2.8619
20251006-0007,2025-10-06T07:26:57,espresso,4.5418
20251006-0008,2025-10-06T07:27:06,espresso,1.9623
20251006-0009,2025-10-06T07:29:12,espresso,2.7450
20251006-0010,2025-10-06T07:29:20,blended,5.1063
20251006-0011,2025-10-06T07:31:31,espresso,3.9070
20251006-0012,2025-10-06T07:34:59,espresso,2.9920
20251006-0013,2025-10-06T07:35:45,espresso,3.2216
20251006-0014,2025-10-06T07:38:13,drip,2.2331
20251006-0015,2025-10-06T07:38:32,drip,1.6380
20251006-0016,2025-10-06T07:38:43,blended,7.3059
20251006-0017,2025-10-06T07:39:20,espresso,2.4334
20251006-0018,2025-10-06T07:41:09,blended,4.2317
20251006-0019,2025-10-06T07:41:58,espresso,2.8437
20251006-0020,2025-10-06T07:44:28,drip,2.0948
20251006-0021,2025-10-06T07:44:55,espresso,5.7411
20251006-0022,2025-10-06T07:48:35,drip,1.5184
20251006-0023,2025-10-06T07:51:02,blended,5.1331
20251006-0024,2025-10-06T07:52:21,drip,2.4382
20251006-0025,2025-10-06T07:53:11,espresso,4.9616
20251006-0026,2025-10-06T07:54:06,espresso,2.5211
20251006-0027,2025-10-06T07:54:15,drip,1.5717
20251006-0028,2025-10-06T07:54:36,espresso,3.1182
20251006-0029,2025-10-06T07:55:59,espresso,3.1402
20251006-0030,2025-10-06T07:56:45,drip,1.4880
20251006-0031,2025-10-06T07:59:17,espresso,4.1868
20251006-0032,2025-10-06T08:00:42,blended,5.2960
20251006-0033,2025-10-06T08:01:11,espresso,6.7685
20251006-0034,2025-10-06T08:02:06,espresso,2.9818
20251006-0035,2025-10-06T08:03:23,espresso,2.3134
20251006-0036,2025-10-06T08:04:04,espresso,2.4325
20251006-0037,2025-10-06T08:04:43,espresso,3.7322
20251006-0038,2025-10-06T08:06:28,espresso,2.5397
20251006-0039,2025-10-06T08:07:04,espresso,4.3008
20251006-0040,2025-10-06T08:09:44,drip,1.6555
20251006-0041,2025-10-06T08:12:31,espresso,3.5459
20251006-0042,2025-10-06T08:14:41,espresso,3.2421
20251006-0043,2025-10-06T08:14:50,drip,1.5374
20251006-0044,2025-10-06T08:17:06,espresso,1.9953
20251006-0045,2025-10-06T08:19:48,espresso,5.1386
20251006-0046,2025-10-06T08:22:03,espresso,3.7705
20251006-0047,2025-10-06T08:22:36,espresso,2.2151
20251006-0048,2025-10-06T08:23:15,espresso,2.2813
20251006-0049,2025-10-06T08:23:35,drip,3.6663
20251006-0050,2025-10-06T08:24:17,espresso,2.4766
20251006-0051,2025-10-06T08:24:20,espresso,5.8351
20251006-0052,2025-10-06T08:24:40,blended,4.8293
20251006-0053,2025-10-06T08:27:18,espresso,1.8624
20251006-0054,2025-10-06T08:35:17,drip,1.7734
20251006-0055,2025-10-06T08:36:25,espresso,4.4124
20251006-0056,2025-10-06T08:36:59,espresso,1.7838
20251006-0057,2025-10-06T08:37:47,espresso,2.7125
20251006-0058,2025-10-06T08:38:30,drip,1.6682
20251006-0059,2025-10-06T08:38:46,blended,5.2716
20251006-0060,2025-10-06T08:40:56,blended,5.1265
20251006-0061,2025-10-06T08:43:41,espresso,4.0081
20251006-0062,2025-10-06T08:46:42,drip,2.1610
20251006-0063,2025-10-06T08:57:19,espresso,3.8815
20251006-0064,2025-10-06T09:04:21,blended,3.0502
20251006-0065,2025-10-06T09:09:02,blended,4.8186
20251006-0066,2025-10-06T09:18:42,drip,3.1123
20251006-0067,2025-10-06T09:30:48,blended,4.5251
20251006-0068,2025-10-06T09:33:38,espresso,2.6728
20251006-0069,2025-10-06T09:34:02,drip,1.7159
20251006-0070,2025-10-06T09:40:03,blended,6.7449
20251006-0071,2025-10-06T09:43:40,drip,0.9764
20251006-0072,2025-10-06T09:54:08,espresso,8.1032
20251006-0073,2025-10-06T09:58:36,drip,1.1263
20251006-0074,2025-10-06T09:59:12,espresso,3.0036
20251006-0075,2025-10-06T10:03:42,blended,3.2091
20251006-0076,2025-10-06T10:06:09,drip,2.3569
20251006-0077,2025-10-06T10:06:39,espresso,4.2407
20251006-0078,2025-10-06T10:07:50,blended,4.7190
20251006-0079,2025-10-06T10:22:43,espresso,3.1591
20251006-0080,2025-10-06T10:24:27,espresso,1.8117
20251006-0081,2025-10-06T10:25:33,espresso,2.8960
20251006-0082,2025-10-06T10:27:28,espresso,3.1238
20251006-0083,2025-10-06T10:36:19,espresso,2.2562
20251006-0084,2025-10-06T10:40:59,drip,2.2163
20251006-0085,2025-10-06T10:41:50,espresso,3.5328
